, score 95.052423, steps 137, (0.861193 sec/eps)
, score 94.842443, steps 141, (0.887126 sec/eps)
, score 94.420774, steps 156, (0.980676 sec/eps)
, score 94.082859, steps 210, (1.335192 sec/eps)
, score 95.383319, steps 179, (1.130180 sec/eps)
, score 94.989421, steps 218, (1.393610 sec/eps)
, score 94.662907, steps 155, (0.981448 sec/eps)
, score 93.430845, steps 156, (0.996284 sec/eps)
, score 95.743203, steps 154, (0.984304 sec/eps)
, score 94.425230, steps 230, (1.465627 sec/eps)
, score 91.147175, steps 240, (1.530362 sec/eps)
, score 94.732890, steps 154, (0.985095 sec/eps)
, score 95.260991, steps 155, (0.996553 sec/eps)
, score 95.477999, steps 184, (1.156152 sec/eps)
, score 94.602743, steps 154, (0.966476 sec/eps)
, score 95.183193, steps 153, (0.962386 sec/eps)
, score 95.916351, steps 151, (0.951877 sec/eps)
, score 94.171687, steps 153, (0.963451 sec/eps)
, score 95.360310, steps 186, (1.174598 sec/eps)
, score 92.119106, steps 235, (1.486386 sec/eps)
, score 93.979906, steps 152, (0.957274 sec/eps)
, score 93.376393, steps 248, (1.562762 sec/eps)
, score 94.193432, steps 198, (1.240401 sec/eps)
, score 94.470070, steps 144, (0.902232 sec/eps)
, score 94.332797, steps 189, (1.183012 sec/eps)
, score 95.260811, steps 153, (0.958361 sec/eps)
, score 93.632760, steps 193, (1.205890 sec/eps)
, score 93.619032, steps 153, (0.966459 sec/eps)
, score 93.517193, steps 150, (0.943844 sec/eps)
, score 93.297012, steps 219, (1.382252 sec/eps)
, score 93.344140, steps 144, (0.907915 sec/eps)
, score 95.267277, steps 148, (0.931357 sec/eps)
, score 91.883808, steps 159, (1.006261 sec/eps)
, score 93.364821, steps 178, (1.111121 sec/eps)
, score 93.736490, steps 143, (0.886005 sec/eps)
, score 93.160983, steps 158, (0.975739 sec/eps)
, score 93.374740, steps 212, (1.335781 sec/eps)
, score 94.411950, steps 150, (0.940822 sec/eps)
, score 93.237199, steps 150, (0.948126 sec/eps)
, score 93.511831, steps 152, (0.947175 sec/eps)
, score 91.613725, steps 154, (0.970022 sec/eps)
, score 95.675494, steps 187, (1.175857 sec/eps)
, score 91.810534, steps 161, (1.012774 sec/eps)
, score 93.294165, steps 147, (0.915874 sec/eps)
, score 92.322539, steps 155, (0.976215 sec/eps)
/home/yuan/.conda/envs/htroRLatari/lib/python3.8/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
ddpg_mountcar.py:195: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343962757/work/torch/csrc/utils/tensor_new.cpp:245.)
  done_batch = map(lambda x: torch.tensor(x).float().cuda(), zip(*memory_batch))
, score 95.548983, steps 159, (0.995742 sec/eps)
, score 94.921281, steps 91, (0.570698 sec/eps)
, score 92.689363, steps 145, (0.907778 sec/eps)
, score 90.223673, steps 206, (1.289862 sec/eps)
, score 95.743335, steps 81, (0.508256 sec/eps)
, score 93.224771, steps 147, (0.922650 sec/eps)
, score 93.040240, steps 146, (0.915526 sec/eps)
, score 92.921248, steps 149, (0.938139 sec/eps)
, score 93.252750, steps 150, (0.939517 sec/eps)
, score 94.202273, steps 149, (0.934509 sec/eps)
